年份,投资效果系数(无时滞),投资效果系数(时滞一年),全社会固定资产交付使用率,建设项目投产率,基建房屋竣工率
1984,0.71,0.49,0.41,0.51,0.46
1985,0.4,0.49,0.44,0.57,0.5
1986,0.55,0.56,0.48,0.53,0.49
1987,0.62,0.93,0.38,0.53,0.47
1988,0.45,0.42,0.41,0.54,0.47
1989,0.36,0.37,0.46,0.54,0.48
1990,0.55,0.68,0.42,0.54,0.46
1991,0.62,0.9,0.38,0.56,0.46
1992,0.61,0.99,0.33,0.57,0.43
1993,0.71,0.93,0.35,0.66,0.44
1994,0.59,0.69,0.36,0.57,0.48
1995,0.41,0.47,0.4,0.54,0.48
1996,0.26,0.29,0.43,0.57,0.48
1997,0.14,0.16,0.43,0.55,0.47
1998,0.12,0.13,0.45,0.59,0.54
1999,0.22,0.25,0.44,0.58,0.52
2000,0.71,0.49,0.41,0.51,0.46
